                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                 1.1038,                0.58648,                 1.3569,                0.99397,                      1,                  0.995,                0.74722,                 0.9495,                0.50672,                   1.38,             0.00042925,             0.00042925,             0.00042925
                     77,                 1.0788,                0.59543,                  1.304,                0.99386,                      1,                  0.995,                0.72115,                0.99195,                0.49944,                 1.4112,             0.00041275,             0.00041275,             0.00041275
                     78,                 1.0845,                0.62209,                  1.364,                0.99638,                      1,                  0.995,                0.71121,                0.99562,                0.47455,                 1.4087,             0.00039625,             0.00039625,             0.00039625
                     79,                 1.0813,                0.58099,                 1.4615,                0.99747,                      1,                  0.995,                0.76216,                0.92261,                0.45372,                 1.3443,             0.00037974,             0.00037974,             0.00037974
                     80,                 1.0567,                0.57418,                 1.2515,                0.99701,                      1,                  0.995,                0.72808,                0.97981,                0.50782,                 1.3682,             0.00036324,             0.00036324,             0.00036324
                     81,                 1.1524,                0.59768,                 1.4062,                0.99401,                      1,                  0.995,                0.72594,                0.97809,                0.50059,                 1.3826,             0.00034674,             0.00034674,             0.00034674
                     82,                 1.0947,                 0.5734,                 1.2997,                0.99287,                      1,                  0.995,                0.68587,                 1.0269,                0.53578,                 1.4312,             0.00033023,             0.00033023,             0.00033023
                     83,                 1.0397,                0.58064,                 1.3275,                0.99392,                      1,                  0.995,                0.71473,                 1.0035,                0.48714,                 1.4035,             0.00031373,             0.00031373,             0.00031373
                     84,                0.97104,                0.54785,                 1.2611,                0.99766,                      1,                  0.995,                0.73516,                0.95676,                0.46267,                 1.3566,             0.00029723,             0.00029723,             0.00029723
                     85,                 1.1104,                0.59474,                  1.403,                 0.9976,                      1,                  0.995,                0.73475,                0.97022,                0.45676,                 1.3686,             0.00028072,             0.00028072,             0.00028072
                     86,                 1.0672,                0.57713,                 1.2788,                0.99542,                      1,                  0.995,                0.75346,                0.96128,                0.44768,                 1.3732,             0.00026422,             0.00026422,             0.00026422
                     87,                 1.1835,                0.63335,                 1.5129,                0.99438,                      1,                  0.995,                0.75423,                0.97895,                0.45426,                 1.3882,             0.00024772,             0.00024772,             0.00024772
                     88,                  1.041,                0.56413,                 1.3166,                0.99459,                      1,                  0.995,                0.75007,                0.93655,                0.45409,                 1.3496,             0.00023121,             0.00023121,             0.00023121
                     89,                  1.064,                0.56721,                 1.3297,                0.99695,                      1,                  0.995,                 0.7423,                0.92926,                0.46415,                 1.3375,             0.00021471,             0.00021471,             0.00021471
                     90,                 1.0728,                0.57328,                 1.3312,                0.99337,                      1,                  0.995,                0.75268,                0.91509,                0.45385,                 1.3279,             0.00019821,             0.00019821,             0.00019821
                     91,                 1.0603,                0.61609,                 1.4095,                 0.9932,                      1,                  0.995,                0.75303,                0.92563,                0.46027,                 1.3358,              0.0001817,              0.0001817,              0.0001817
                     92,                 1.0197,                0.54878,                 1.3159,                0.99569,                      1,                  0.995,                0.73339,                0.98817,                 0.4581,                  1.368,              0.0001652,              0.0001652,              0.0001652
                     93,                 1.0256,                0.56098,                  1.389,                0.99674,                      1,                  0.995,                0.71918,                 1.0449,                0.46004,                 1.4038,              0.0001487,              0.0001487,              0.0001487
                     94,                 1.0378,                0.54594,                 1.4117,                0.99783,                      1,                  0.995,                0.71555,                 1.0506,                0.46456,                 1.4146,             0.00013219,             0.00013219,             0.00013219
                     95,                 1.0029,                0.52674,                 1.3664,                0.99763,                      1,                  0.995,                0.71864,                 1.0231,                0.46754,                 1.3986,             0.00011569,             0.00011569,             0.00011569
                     96,                0.97355,                0.52735,                 1.3821,                0.99763,                      1,                  0.995,                0.72603,                0.97876,                0.48836,                 1.3662,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                0.95083,                0.50987,                 1.3418,                0.99766,                      1,                  0.995,                0.73359,                0.97407,                0.47862,                 1.3613,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                 0.9678,                0.50599,                 1.3303,                0.99734,                      1,                  0.995,                0.73591,                 0.9596,                0.45066,                 1.3521,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                0.93578,                0.48419,                 1.2935,                0.99727,                      1,                  0.995,                0.73316,                0.95263,                0.44433,                 1.3457,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                0.97507,                0.51547,                 1.3863,                0.99733,                      1,                  0.995,                 0.7411,                0.94373,                0.43286,                 1.3404,             3.3173e-05,             3.3173e-05,             3.3173e-05
